# Trade Brigade newsletter threads in Steve's Gmail (one per week; Mailchimp resends omitted). [dr-4ne]
# date threadId
2026-08-31 1a0551f5b6744bfd
2026-08-24 1a03128fde86674f
2026-08-17 1a00d0634dc9abda
2026-08-10 19fe8f9bb529939a
2026-08-04 19fca1323d18aa74
2026-07-13 19f58c7359de89a5
2026-07-06 19f34bac5bd130ad
2026-06-29 19f10ae32b7c2333
2026-06-22 19eeca177b083ac8
2026-06-15 19ec8a080b832cd4
2026-06-08 19ea49200a7ee017
2026-06-01 19e807ca7419772f
2026-05-25 19e5c8ab96deb017
2026-05-18 19e3af8417ffa1f7
2026-05-11 19e1456c42193240
2026-04-27 19dcc3da9dade9e7
2026-04-21 19dad56c9274ee6f
2026-04-13 19d842982c6be59c
2026-04-06 19d60190a32ac6e0
2026-03-30 19d3c0c6dda2cd91
2026-03-23 19d180dbcddd2c1a
2026-03-16 19cf3f2515490182
2026-03-09 19ccfe6dea88c756
2026-03-02 19cac15c75d163b9
2026-02-16 19c63f820e8ce7ab
2026-02-09 19c3fe9e583026ca
2026-02-02 19c1bde862960a55
2026-01-26 19bf7d10bf895041
2026-01-12 19bafba328b65528
2026-01-05 19b8bacdb8b48173
2025-12-29 19b679f01d083518
2025-12-22 19b4393fe790dd98
2025-12-15 19b1f86f9ce0fca7
2025-12-08 19afb7a5a68aae8d
2025-12-01 19ad76d5016300c2
2025-11-24 19ab3602d584d674
2025-11-10 19a6b47536d213f2
2025-11-03 19a473adbcbfb740
2025-10-20 199feead2e557dc3
2025-10-13 199dadeeed2d761a
2025-10-06 199b6d19ee0a6296
2025-09-28 19992c5ebbaa1128
2025-09-22 1996eb8d11f7ad88
2025-09-14 1994aacc086826c1
2025-09-08 19926a0f2abb2b2f
2025-09-01 1990293361f8d324
2025-08-24 198de868aaeaebb1
2025-08-18 198ba7b1b61ea1a8
2025-08-11 198966ddafb072b4
2025-08-03 1987261b740397f8
2025-07-21 1982a485be15d3e4
2025-07-14 198063bb1268e83f
2025-07-07 197e22f422b358ee
2025-06-30 197be22c7f4f2e2e
2025-06-23 1979a165c620790b
2025-06-16 197760df4e30e4b0
2025-06-09 19751fcf6ea76d54
2025-06-02 1972df0ff40df13d
2025-05-26 19709e47ab7bddd7
2025-05-19 196e5d9915962b46
2025-05-12 196c1cb0a5b96fd1
2025-05-05 1969dbe77931e1d4
2025-04-28 19679b2330c712c1
2025-04-20 19655a559e394350
2025-04-14 1963199120f3f5af
2025-04-07 1960da894027a806
2025-03-31 195e98476736761b
2025-03-24 195c57395712bc7f
2025-03-17 195a166e2b8413b6
2025-03-10 1957db2ed548f885
2025-03-03 1955984b847618c1
2025-02-10 194ed5f4ba014df9
2025-02-03 194c952bad9d8df7
2025-01-20 1948139abe445e71
2025-01-06 19439209d907b6e3
2024-12-30 19415140d2d77a17
2024-12-23 193f1075de28d803
2024-12-16 193cd025a906e21d
2024-12-09 193a8eea7ffecb77
2024-12-02 19384e58fcc28d62
2024-11-25 19360d57f1d15b30
2024-11-18 1933d2d9ed80b4c7
2024-11-11 19318bc7913b6254
2024-11-04 192f4b0292da1387
2024-10-27 192d06d3fb313a96
2024-10-20 192ac5ff9778fc05
2024-10-14 1928853731e64c07
2024-10-06 1926446c6cb0fa33
2024-09-30 1924051b9aee139f
2024-09-23 1921c2e03dada33e
2024-09-15 191f821ea1ef401e
2024-09-09 191d414dc73b5124
2024-09-02 191b008d9e6e1572
2024-08-26 1918bfbf132d223d
2024-08-19 19167ef496855298
2024-08-11 19143e277e8bbb74
2024-08-04 1911fd60ce882696
